track,metric,latency_kind,ch_label,ch_session,ch_model,c2_label,c2_campaign,c2_model,bench,size_family,ch_best,ch_avg,ch_worst,c2_best,c2_avg,c2_worst,ch_latency,c2_latency,ratio_c2_over_ch,winner,ch_dsp,c2_dsp,note
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,gemm,poly_mini,902,902,902,1419,1419,1419,902,1419,1.5731707317073171,chathls,271,9160,xml:gemm_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,gemm_blocked,machsuite_64,2097166,2097166,2097166,593986,593986,593986,2097166,593986,0.283232705470144,c2hls,11,77,xml:gemm_blocked_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,gemm_ncubed,machsuite_64,4627,4627,4627,307404,307404,307404,4627,307404,66.43700021612275,chathls,1408,11,xml:gemm_ncubed_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,gesummv,poly_mini,482,482,482,878,878,878,482,878,1.8215767634854771,chathls,20,64,xml:gesummv_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,matmul,poly_mini,660,660,660,53217,53217,53217,660,53217,80.63181818181818,chathls,19974,24,xml:matmul_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,mvt,poly_mini,1234,1234,1234,2149,2149,2149,1234,2149,1.7414910858995138,chathls,16,32,xml:mvt_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,symm,hlsfactory,311596,311596,311596,1057457,21731057,42404657,311596,42404657,136.08857944261158,chathls,30,19,xml:kernel_symm_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,syr2k,hlsfactory,394721,394721,394721,1990797,1990797,1990797,394721,1990797,5.043554814666562,chathls,38,11,xml:kernel_syr2k_csynth.xml
native_vs_chathls_poly,worst,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,syrk,hlsfactory,164241,388881,619281,38471,1351991,2699191,619281,2699191,4.35858842754743,chathls,11,8,xml:kernel_syrk_csynth.xml
native_vs_chathls_poly,avg,csynth,ChatHLS native,hybrid-u280-split-20260717-001649,DeepSeek,RAG2+noskills,batch_parallel_chathls_fd_ds_rag2_ns_20260717_215344_rag2_ns,DeepSeek,2mm,hlsfactory,7582,7582,7582,25322,25322,25322,7582,25322,3.339752044315484,chathls,1116,1330,xml:kernel_2mm_csynth.xml
